Nom_districte,Nom_barri,Descripcio_dia_setmana,Nom_mes,Dia_mes,Hora_dia,Descripcio_causa_vianant,Descripcio_tipus_vehicle,tipo_vehiculo,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Longitud,Latitud
Desconegut,Desconegut,Jueves,Junio,27,18,No,Bicicleta,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,2.1543111137033013,41.38529488462751
Desconegut,Desconegut,Jueves,Junio,27,18,No,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,2.1543111137033013,41.38529488462751
Desconegut,Desconegut,Lunes,Noviembre,4,13,No,Motocicleta,Motocicleta,WW125EX2,HONDA,Blanc,B,35,2.1203618421503547,41.33944603154944
Desconegut,Desconegut,Martes,Febrero,26,22,No,Turisme,Turismo,307 SW PK,PEUGEOT,Gris,B,30,2.138579971778365,41.33299423006925
Desconegut,Desconegut,Martes,Febrero,26,22,No,Turisme,Turismo,C3,CITROEN,Negre,B,15,2.138579971778365,41.33299423006925
Desconegut,Desconegut,Martes,Abril,9,9,No,Veh. mobilitat personal amb motor,Patinete/patín,XS,JOYOR,Desconegut,Desconegut,Desconegut,2.1543111137033013,41.38529488462751
Desconegut,Desconegut,Martes,Agosto,6,7,No,Motocicleta,Motocicleta,T MAX,YAMAHA,Blanc,A2,9,2.132725982730078,41.32345726224436
Desconegut,Desconegut,Martes,Agosto,6,7,No,Tractor camió,Camión, ,IVECO FIAT,Blanc,B,17,2.132725982730078,41.32345726224436
Desconegut,Desconegut,Martes,Diciembre,24,20,No,Taxi,Taxi,ALTEA XL,SEAT,Negre/Groc,B,43,2.168971005971911,41.36214521025368
Desconegut,Desconegut,Martes,Diciembre,24,20,No,Tot terreny,Turismo,X5 3 0 D,BMW,Negre,B,35,2.168971005971911,41.36214521025368
Desconegut,Desconegut,Martes,Diciembre,24,20,No,Turisme,Turismo,POLO 1.4,VOLKSWAGEN,Gris,B,2,2.168971005971911,41.36214521025368
Eixample,Sant Antoni,Miércoles,Enero,23,15,No,Autobús,Autobús,7900,VOLVO,Vermell,D,17,2.162334793069694,41.37569167070221
Desconegut,Desconegut,Miércoles,Enero,23,22,No,Autobús,Autobús,B12BER,VOLVO,Blanc,D,2,2.114687991415673,41.3372796418757
Desconegut,Desconegut,Miércoles,Enero,23,22,No,Motocicleta,Motocicleta,CBR 600,HONDA,Blanc,A,11,2.114687991415673,41.3372796418757
Desconegut,Desconegut,Miércoles,Marzo,13,20,No,Turisme,Turismo,ASTRA G COUPE,OPEL,Desconegut,B,2,2.1050077945577943,41.38590267519319
Desconegut,Desconegut,Miércoles,Marzo,13,20,No,Turisme,Turismo,TOYOTA C-HR,TOYOTA,Desconegut,B,9,2.1050077945577943,41.38590267519319
Desconegut,Desconegut,Miércoles,Julio,3,14,No,Motocicleta,Motocicleta,ST 1300,HONDA,Blanc,A,24,2.138579971778365,41.33299423006925
Desconegut,Desconegut,Miércoles,Julio,3,14,No,Motocicleta,Motocicleta,YP400RA,YAMAHA,Gris,A,3,2.1203618421503547,41.33944603154944
Desconegut,Desconegut,Miércoles,Octubre,23,13,No,Autobús,Autobús,I6 13.35,IRIZAR,Blanc,D,27,2.1543111137033013,41.38529488462751
Desconegut,Desconegut,Miércoles,Octubre,23,13,No,Turisme,Turismo,IBIZA II,SEAT,Gris,B,5,2.1543111137033013,41.38529488462751
Desconegut,Desconegut,Domingo,Enero,20,19,No,Turisme,Turismo,GOLF,VOLKSWAGEN,Gris,B,8,2.1498103430760227,41.359781932930645
Desconegut,Desconegut,Domingo,Enero,20,19,No,Turisme,Turismo,PRIUS,TOYOTA,Blanc,B,23,2.1498103430760227,41.359781932930645
Desconegut,Desconegut,Domingo,Marzo,10,13,No,Bicicleta,Bicicleta, ,ES DESCONEIX,Desconegut,Desconegut,Desconegut,2.1395118220376266,41.44727230127193
Desconegut,Desconegut,Viernes,Febrero,15,11,No,Furgoneta,Furgoneta,35C15,IVECO FIAT,Blanc,B,23,2.1357088326797826,41.33415484728828
Desconegut,Desconegut,Viernes,Febrero,15,11,No,Tractor camió,Camión,440,IVECO FIAT,Blanc,E C,27,2.1357088326797826,41.33415484728828
Desconegut,Desconegut,Viernes,Febrero,15,11,No,Tractor camió,Camión,FT 95,DAF-HERMANNS,Negre,E C,4,2.1357088326797826,41.33415484728828
Desconegut,Desconegut,Viernes,Febrero,15,11,No,Tractor camió,Camión,TGX 540,MAN,Blanc,E C,12,2.1357088326797826,41.33415484728828
Desconegut,Desconegut,Viernes,Marzo,29,7,No,Motocicleta,Motocicleta,SYMPHONY ST,S.Y.M,Negre,A,41,2.1203618421503547,41.33944603154944
Desconegut,Desconegut,Viernes,Marzo,29,7,No,Turisme,Turismo,C4,CITROEN,Negre,B,15,2.1203618421503547,41.33944603154944
Desconegut,Desconegut,Viernes,Mayo,10,10,No,Furgoneta,Furgoneta,TRANSIT,FORD,Blanc,B,12,2.1498103430760227,41.359781932930645
